taxon_oid,Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID ,GOLD Analysis Project Type,GOLD Sequencing Project ID,Geographic Location,Latitude,Longitude,Oxygen Concentration,pH,Salinity,Salinity Concentration,Sample Collection Temperature,Genome Size   * assembled,Gene Count   * assembled,Genome Bin Count   * assembled,temperature_num,pH_num,pH_low,pH_high,pH_avg,pH_range
2582581265,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Caldanaerobius fijiensis DSM 17918,DOE Joint Genome Institute (JGI),2582581265.0,Genome Analysis (Isolate),Gp0012997,"Wainggele Spring on Vanua Levu island, Fiji",,,,4.5-8.4,,,60 C,2760766,2789,0.0,60.0,,4.5,8.4,6.45,3.9000000000000004
2582581272,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Thermomonas hydrothermalis DSM 14834,DOE Joint Genome Institute (JGI),2582581272.0,Genome Analysis (Isolate),Gp0088908,Portugal,,,,,,,50 C,2448719,2373,0.0,50.0,,,,,
2582581276,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Thermoanaerobacter uzonensis DSM 18761,DOE Joint Genome Institute (JGI),2582581276.0,Genome Analysis (Isolate),Gp0011142,"Russia, Uzon East Thermal field, Kamchatka",,,,,,,60 C,2409754,2488,0.0,60.0,,,,,
2585428063,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Desulfotomaculum hydrothermale Lam5,DOE Joint Genome Institute (JGI),2585428063.0,Genome Analysis (Isolate),Gp0088784,North East Tunisia,,,,5.8-8.2,,,55 C,2628775,2691,0.0,55.0,,5.8,8.2,7.0,2.3999999999999995
2585428191,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Anaerobranca californiensis DSM 14826,DOE Joint Genome Institute (JGI),2585428191.0,Genome Analysis (Isolate),Gp0012983,"Paoha Island in Mono Lake, California",38.000356,-119.035349,,8.6-10.4,,,60 C,2034462,2155,0.0,60.0,,8.6,10.4,9.5,1.8000000000000007
2588253728,Bacteria,Finished,Thermodesulfobacterium commune DSM 2178,Thermodesulfobacterium commune DSM 2178,J. Craig Venter Institute (JCVI),2588253728.0,Genome Analysis (Isolate),Gp0002105,"Yellowstone  National Park, Wyoming",45.77,-111.021591,,,,,70 C,1764045,1503,0.0,70.0,,,,,
2599185253,Bacteria,Permanent Draft,"Hot Spring microbial communities from Great Boiling Spring, Nevada",Candidatus Thermokryptus mobilis GFM JGI-1,DOE Joint Genome Institute (JGI),2599185253.0,Metagenome-Assembled Genome,Gp0052399,"Great Boiling Spring, Nevada",40.71458,-119.369659,,6.37,,,,2423295,2319,0.0,,6.37,6.37,6.37,6.37,0.0
2599185254,Bacteria,Permanent Draft,"Hot springs sediment microbial communities from Tengchong, China, analyzing PIRE metagenomes",Candidatus Kryptobacter tengchongensis GFM JGI-2,Stanford University,2599185254.0,Metagenome-Assembled Genome,Gp0056413,"Baoshan, Yunnan, China",25.44138,98.46004,,6.71,,,81.6 C,1604537,1659,0.0,81.6,6.71,6.71,6.71,6.71,0.0
2599185255,Bacteria,Permanent Draft,"Hot springs sediment microbial communities from Tengchong, China, analyzing PIRE metagenomes",Candidatus Kryptobacter tengchongensis GFM JGI-3,Stanford University,2599185255.0,Metagenome-Assembled Genome,Gp0056412,"Gongxiaoshe pool, Tengchong, China",25.44012,98.44081,,7.29,,,73.8 C,2680691,2405,0.0,73.8,7.29,7.29,7.29,7.29,0.0
2599185256,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),Candidatus Kryptonium thompsoni GFM JGI-4,McGill University,2599185256.0,Metagenome-Assembled Genome,Gp0094514,"Dewar Creek, British Columbia, Canada",49.954267,-116.515467,,8,,,78 C,2592687,2353,0.0,78.0,8.0,8.0,8.0,8.0,0.0
2600254939,Bacteria,Permanent Draft,"Kryptonia, defining a new bacterial candidate phylum from geothermal springs",Candidatus Kryptonium thompsoni JGI-5 (unscreened),DOE Joint Genome Institute (JGI),2600254939.0,Single Cell Analysis (unscreened),Gp0109691,"Dewar Creek, British Columbia, Canada",49.954267,-116.515467,,8,,,77 C,2199336,2085,0.0,77.0,8.0,8.0,8.0,8.0,0.0
2600254940,Bacteria,Permanent Draft,"Kryptonia, defining a new bacterial candidate phylum from geothermal springs",Candidatus Kryptonium thompsoni JGI-6 (unscreened),DOE Joint Genome Institute (JGI),2600254940.0,Single Cell Analysis (unscreened),Gp0109692,"Dewar Creek, British Columbia, Canada",49.954267,-116.515467,,8,,,77 C,2124902,2054,0.0,77.0,8.0,8.0,8.0,8.0,0.0
2600254941,Bacteria,Permanent Draft,"Kryptonia, defining a new bacterial candidate phylum from geothermal springs",Candidatus Kryptobacter tengchongensis JGI-20 (unscreened),DOE Joint Genome Institute (JGI),2600254941.0,Single Cell Analysis (unscreened),Gp0109706,"Gongxiaoshe pool, Ruidian geothermal field, Tengchong County, Yunnan Province, China",25.44012,98.44081,,7.29,,,,1697275,1663,0.0,,7.29,7.29,7.29,7.29,0.0
2600254942,Bacteria,Permanent Draft,"Kryptonia, defining a new bacterial candidate phylum from geothermal springs",Candidatus Kryptobacter tengchongensis JGI-22 (unscreened),DOE Joint Genome Institute (JGI),2600254942.0,Single Cell Analysis (unscreened),Gp0109708,"Gongxiaoshe pool, Ruidian geothermal field, Tengchong County, Yunnan Province, China",25.44012,98.44081,,7.29,,,,527169,562,0.0,,7.29,7.29,7.29,7.29,0.0
2600255258,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Crenotalea thermophila DSM 14807,DOE Joint Genome Institute (JGI),2600255258.0,Genome Analysis (Isolate),Gp0102827,,,,,,,,55 C,2858357,2419,0.0,55.0,,,,,
2600255340,Bacteria,Permanent Draft,"Kryptonia, defining a new bacterial candidate phylum from geothermal springs",Candidatus Kryptonium thompsoni JGI-7 (unscreened),DOE Joint Genome Institute (JGI),2600255340.0,Single Cell Analysis (unscreened),Gp0109693,"Dewar Creek, British Columbia, Canada",49.954267,-116.515467,,8,,,77 C,2446411,2329,0.0,77.0,8.0,8.0,8.0,8.0,0.0
2600255341,Bacteria,Permanent Draft,"Kryptonia, defining a new bacterial candidate phylum from geothermal springs",Candidatus Kryptonium thompsoni JGI-8 (unscreened),DOE Joint Genome Institute (JGI),2600255341.0,Single Cell Analysis (unscreened),Gp0109694,"Dewar Creek, British Columbia, Canada",49.954267,-116.515467,,8,,,77 C,2348695,2211,0.0,77.0,8.0,8.0,8.0,8.0,0.0
2600255342,Bacteria,Permanent Draft,"Kryptonia, defining a new bacterial candidate phylum from geothermal springs",Candidatus Kryptonium thompsoni JGI-9 (unscreened),DOE Joint Genome Institute (JGI),2600255342.0,Single Cell Analysis (unscreened),Gp0109695,"Dewar Creek, British Columbia, Canada",49.954267,-116.515467,,8,,,77 C,2000579,2053,0.0,77.0,8.0,8.0,8.0,8.0,0.0
2600255343,Bacteria,Permanent Draft,"Kryptonia, defining a new bacterial candidate phylum from geothermal springs",Candidatus Kryptonium thompsoni JGI-10 (unscreened),DOE Joint Genome Institute (JGI),2600255343.0,Single Cell Analysis (unscreened),Gp0109696,"Dewar Creek, British Columbia, Canada",49.954267,-116.515467,,8,,,77 C,1566745,1560,0.0,77.0,8.0,8.0,8.0,8.0,0.0
2600255344,Bacteria,Permanent Draft,"Kryptonia, defining a new bacterial candidate phylum from geothermal springs",Candidatus Kryptonium thompsoni JGI-11 (unscreened),DOE Joint Genome Institute (JGI),2600255344.0,Single Cell Analysis (unscreened),Gp0109697,"Dewar Creek, British Columbia, Canada",49.954267,-116.515467,,8,,,77 C,2227388,2159,0.0,77.0,8.0,8.0,8.0,8.0,0.0
2600255345,Bacteria,Permanent Draft,"Kryptonia, defining a new bacterial candidate phylum from geothermal springs",Candidatus Chrysopegis Kryptomonas JGI-23 (unscreened),DOE Joint Genome Institute (JGI),2600255345.0,Single Cell Analysis (unscreened),Gp0109709,"Jinze pool, Ruidian geothermal field, Tengchong County, Yunnan Province, China",,,,6.71,,,,2070112,1980,0.0,,6.71,6.71,6.71,6.71,0.0
2600255346,Bacteria,Permanent Draft,"Kryptonia, defining a new bacterial candidate phylum from geothermal springs",Candidatus Kryptobacter tengchongensis JGI-24 (unscreened),DOE Joint Genome Institute (JGI),2600255346.0,Single Cell Analysis (unscreened),Gp0109710,"Jinze pool, Ruidian geothermal field, Tengchong County, Yunnan Province, China",,,,6.71,,,,1801065,1839,0.0,,6.71,6.71,6.71,6.71,0.0
2600255347,Bacteria,Permanent Draft,"Kryptonia, defining a new bacterial candidate phylum from geothermal springs",Candidatus Kryptobacter tengchongensis JGI-25 (unscreened),DOE Joint Genome Institute (JGI),2600255347.0,Single Cell Analysis (unscreened),Gp0109711,"Jinze pool, Ruidian geothermal field, Tengchong County, Yunnan Province, China",,,,6.71,,,,1666644,1676,0.0,,6.71,6.71,6.71,6.71,0.0
2600255348,Bacteria,Permanent Draft,"Kryptonia, defining a new bacterial candidate phylum from geothermal springs",Candidatus Kryptonium thompsoni JGI-12 (unscreened),DOE Joint Genome Institute (JGI),2600255348.0,Single Cell Analysis (unscreened),Gp0109698,"Dewar Creek, British Columbia, Canada",49.954267,-116.515467,,8,,,77 C,2084989,2107,0.0,77.0,8.0,8.0,8.0,8.0,0.0
2600255349,Bacteria,Permanent Draft,"Kryptonia, defining a new bacterial candidate phylum from geothermal springs",Candidatus Kryptonium thompsoni JGI-13 (unscreened),DOE Joint Genome Institute (JGI),2600255349.0,Single Cell Analysis (unscreened),Gp0109699,"Dewar Creek, British Columbia, Canada",49.954267,-116.515467,,8,,,77 C,2244233,2219,0.0,77.0,8.0,8.0,8.0,8.0,0.0
2600255388,Bacteria,Permanent Draft,"Kryptonia, defining a new bacterial candidate phylum from geothermal springs",Candidatus Kryptonium thompsoni JGI-15 (unscreened),DOE Joint Genome Institute (JGI),2600255388.0,Single Cell Analysis (unscreened),Gp0109701,"Dewar Creek, British Columbia, Canada",49.954267,-116.515467,,8,,,77 C,1972077,1940,0.0,77.0,8.0,8.0,8.0,8.0,0.0
2600255391,Bacteria,Permanent Draft,"Kryptonia, defining a new bacterial candidate phylum from geothermal springs",Candidatus Kryptonium thompsoni JGI-16 (unscreened),DOE Joint Genome Institute (JGI),2600255391.0,Single Cell Analysis (unscreened),Gp0109702,"Dewar Creek, British Columbia, Canada",49.954267,-116.515467,,8,,,77 C,1529056,1644,0.0,77.0,8.0,8.0,8.0,8.0,0.0
2600255395,Bacteria,Permanent Draft,"Kryptonia, defining a new bacterial candidate phylum from geothermal springs",Candidatus Kryptonium thompsoni JGI-17 (unscreened),DOE Joint Genome Institute (JGI),2600255395.0,Single Cell Analysis (unscreened),Gp0109703,"Dewar Creek, British Columbia, Canada",49.954267,-116.515467,,8,,,77 C,842126,977,0.0,77.0,8.0,8.0,8.0,8.0,0.0
2600255396,Bacteria,Permanent Draft,"Kryptonia, defining a new bacterial candidate phylum from geothermal springs",Candidatus Kryptonium thompsoni JGI-14 (unscreened),DOE Joint Genome Institute (JGI),2600255396.0,Single Cell Analysis (unscreened),Gp0109700,"Dewar Creek, British Columbia, Canada",49.954267,-116.515467,,8,,,77 C,2150108,2144,0.0,77.0,8.0,8.0,8.0,8.0,0.0
2609459732,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"unclassified ""DC8"" bacterium JGI MDM2-000218CP-E11 (unscreened)",DOE Joint Genome Institute (JGI),2609459732.0,Single Cell Analysis (unscreened),Gp0113091,Canada: British Columbia,,,,7.94,,,64.7 C,593381,645,0.0,64.7,7.94,7.94,7.94,7.94,0.0
2609459733,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"unclassified ""DC8"" bacterium JGI MDM2-000218CP-E11 (contamination screened)",DOE Joint Genome Institute (JGI),2609459733.0,Single Cell Analysis (screened),Gp0113091,Canada: British Columbia,,,,7.94,,,64.7 C,349106,374,0.0,64.7,7.94,7.94,7.94,7.94,0.0
2615840668,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"unclassified ""DC8"" bacterium JGI MDM2-000218CP-I10 (contamination screened)",DOE Joint Genome Institute (JGI),2615840668.0,Single Cell Analysis (screened),Gp0113092,Canada: British Columbia,,,,7.94,,,64.7 C,237082,258,0.0,64.7,7.94,7.94,7.94,7.94,0.0
2615840669,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"unclassified ""DC8"" bacterium JGI MDM2-000218CP-I10 (unscreened)",DOE Joint Genome Institute (JGI),2615840669.0,Single Cell Analysis (unscreened),Gp0113092,Canada: British Columbia,,,,7.94,,,64.7 C,449601,478,0.0,64.7,7.94,7.94,7.94,7.94,0.0
2615840676,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"unclassified ""DC8"" bacterium JGI MDM2-000218CP-L11 (unscreened)",DOE Joint Genome Institute (JGI),2615840676.0,Single Cell Analysis (unscreened),Gp0113093,Canada: British Columbia,,,,7.94,,,64.7 C,384352,393,0.0,64.7,7.94,7.94,7.94,7.94,0.0
2615840677,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"unclassified ""DC8"" bacterium JGI MDM2-000218CP-L11 (contamination screened)",DOE Joint Genome Institute (JGI),2615840677.0,Single Cell Analysis (screened),Gp0113093,Canada: British Columbia,,,,7.94,,,64.7 C,229579,228,0.0,64.7,7.94,7.94,7.94,7.94,0.0
2615840714,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),SBR1093 bacterium JGI MDM2 000223CP-C5 (unscreened),DOE Joint Genome Institute (JGI),2615840714.0,Single Cell Analysis (unscreened),Gp0112692,Canada: British Columbia,,,,7.94,,,64.7 C,438995,541,0.0,64.7,7.94,7.94,7.94,7.94,0.0
2616644805,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),S2R-29 bacterium JGI MDM2-000218CP-K4 (contamination screened),DOE Joint Genome Institute (JGI),2616644805.0,Single Cell Analysis (screened),Gp0112689,Canada: British Columbia,,,,7.94,,,64.7 C,1510853,1392,0.0,64.7,7.94,7.94,7.94,7.94,0.0
2616644806,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),S2R-29 bacterium JGI MDM2-000218CP-K4 (unscreened),DOE Joint Genome Institute (JGI),2616644806.0,Single Cell Analysis (unscreened),Gp0112689,Canada: British Columbia,,,,7.94,,,64.7 C,1683063,1559,0.0,64.7,7.94,7.94,7.94,7.94,0.0
2616644823,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),GAL08 bacterium JGI MDM2-000218CP-D6 (contamination screened),DOE Joint Genome Institute (JGI),2616644823.0,Single Cell Analysis (screened),Gp0112633,Canada: British Columbia,,,,7.94,,,64.7 C,2058264,1863,0.0,64.7,7.94,7.94,7.94,7.94,0.0
2616644824,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),GAL08 bacterium JGI MDM2-000218CP-D6 (unscreened),DOE Joint Genome Institute (JGI),2616644824.0,Single Cell Analysis (unscreened),Gp0112633,Canada: British Columbia,,,,7.94,,,64.7 C,2387925,2182,0.0,64.7,7.94,7.94,7.94,7.94,0.0
2619618940,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),GAL08 bacterium JGI MDM2-000218CP-N6 (unscreened),DOE Joint Genome Institute (JGI),2619618940.0,Single Cell Analysis (unscreened),Gp0112636,Canada: British Columbia,,,,7.94,,,64.7 C,1100331,1064,0.0,64.7,7.94,7.94,7.94,7.94,0.0
2619618941,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),GAL08 bacterium JGI MDM2-000218CP-N6 (contamination screened),DOE Joint Genome Institute (JGI),2619618941.0,Single Cell Analysis (screened),Gp0112636,Canada: British Columbia,,,,7.94,,,64.7 C,673384,629,0.0,64.7,7.94,7.94,7.94,7.94,0.0
2619618942,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),GAL15 bacterium JGI MDM2 000223CP-C16 (unscreened),DOE Joint Genome Institute (JGI),2619618942.0,Single Cell Analysis (unscreened),Gp0112637,Canada: British Columbia,,,,7.94,,,64.7 C,202596,204,0.0,64.7,7.94,7.94,7.94,7.94,0.0
2619618947,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),GAL08 bacterium JGI MDM2-000218CP-N4 (contamination screened),DOE Joint Genome Institute (JGI),2619618947.0,Single Cell Analysis (screened),Gp0112635,Canada: British Columbia,,,,7.94,,,64.7 C,1501052,1367,0.0,64.7,7.94,7.94,7.94,7.94,0.0
2619618948,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),GAL08 bacterium JGI MDM2-000218CP-N4 (unscreened),DOE Joint Genome Institute (JGI),2619618948.0,Single Cell Analysis (unscreened),Gp0112635,Canada: British Columbia,,,,7.94,,,64.7 C,1870948,1743,0.0,64.7,7.94,7.94,7.94,7.94,0.0
2630968760,Bacteria,Permanent Draft,Genome sequencing project of agriculturally useful microbes,Azospirillum thiophilum DSM 21654,Kyungpook National University,2630968760.0,Genome Analysis (Isolate),Gp0119036,"Stavropol Krai, North Caucasus",,,,,,,28 C,7637524,6773,0.0,28.0,,,,,
2630969008,Bacteria,Permanent Draft,Mini-Metagenome - Microbial communities from the Yellowstone National Park,Ignavibacterium Spring_Unknown_43.3,Stanford University,2630969008.0,Metagenome-Assembled Genome,Gp0121445,"Yellowstone National Park, Wyoming, USA",44.564833,-110.86325,,,,,55 C,3356289,2913,0.0,55.0,,,,,
2630969017,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),S2R-29 bacterium JGI MDM2-000218CP-N12 (unscreened),DOE Joint Genome Institute (JGI),2630969017.0,Single Cell Analysis (unscreened),Gp0112691,Canada: British Columbia,,,,7.94,,,64.7 C,1089396,1141,0.0,64.7,7.94,7.94,7.94,7.94,0.0
2630969018,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),S2R-29 bacterium JGI MDM2-000218CP-N12 (contamination screened),DOE Joint Genome Institute (JGI),2630969018.0,Single Cell Analysis (screened),Gp0112691,Canada: British Columbia,,,,7.94,,,64.7 C,357246,351,0.0,64.7,7.94,7.94,7.94,7.94,0.0
2630969021,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),S2R-29 bacterium JGI MDM2-000218CP-C13 (contamination screened),DOE Joint Genome Institute (JGI),2630969021.0,Single Cell Analysis (screened),Gp0112688,Canada: British Columbia,,,,7.94,,,64.7 C,1257118,1196,0.0,64.7,7.94,7.94,7.94,7.94,0.0
2630969022,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),S2R-29 bacterium JGI MDM2-000218CP-C13 (unscreened),DOE Joint Genome Institute (JGI),2630969022.0,Single Cell Analysis (unscreened),Gp0112688,Canada: British Columbia,,,,7.94,,,64.7 C,1576121,1533,0.0,64.7,7.94,7.94,7.94,7.94,0.0
2630969025,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),S2R-29 bacterium JGI MDM2-000218CP-N10 (unscreened),DOE Joint Genome Institute (JGI),2630969025.0,Single Cell Analysis (unscreened),Gp0112690,Canada: British Columbia,,,,7.94,,,64.7 C,1390957,1423,0.0,64.7,7.94,7.94,7.94,7.94,0.0
2630969026,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),S2R-29 bacterium JGI MDM2-000218CP-N10 (contamination screened),DOE Joint Genome Institute (JGI),2630969026.0,Single Cell Analysis (screened),Gp0112690,Canada: British Columbia,,,,7.94,,,64.7 C,829107,813,0.0,64.7,7.94,7.94,7.94,7.94,0.0
2630969029,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),S2R-29 bacterium JGI MDM2 000223CP-C7 (unscreened),DOE Joint Genome Institute (JGI),2630969029.0,Single Cell Analysis (unscreened),Gp0112674,Canada: British Columbia,,,,7.94,,,64.7 C,760966,810,0.0,64.7,7.94,7.94,7.94,7.94,0.0
2630969030,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),S2R-29 bacterium JGI MDM2 000223CP-C7 (contamination screened),DOE Joint Genome Institute (JGI),2630969030.0,Single Cell Analysis (screened),Gp0112674,Canada: British Columbia,,,,7.94,,,64.7 C,200036,193,0.0,64.7,7.94,7.94,7.94,7.94,0.0
2634166161,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),GAL08 bacterium JGI MDM2 000223CP-I11 (unscreened),DOE Joint Genome Institute (JGI),2634166161.0,Single Cell Analysis (unscreened),Gp0112623,Canada: British Columbia,,,,7.94,,,64.7 C,404231,425,0.0,64.7,7.94,7.94,7.94,7.94,0.0
2634166204,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),GAL08 bacterium JGI MDM2-000218CP-L14 (unscreened),DOE Joint Genome Institute (JGI),2634166204.0,Single Cell Analysis (unscreened),Gp0112634,Canada: British Columbia,,,,7.94,,,64.7 C,1232504,1213,0.0,64.7,7.94,7.94,7.94,7.94,0.0
2634166205,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),GAL08 bacterium JGI MDM2-000218CP-L14 (contamination screened),DOE Joint Genome Institute (JGI),2634166205.0,Single Cell Analysis (screened),Gp0112634,Canada: British Columbia,,,,7.94,,,64.7 C,789915,734,0.0,64.7,7.94,7.94,7.94,7.94,0.0
2636415974,Bacteria,Permanent Draft,"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera",Thermoflexibacter ruber DSM 9560,DOE Joint Genome Institute (JGI),2636415974.0,Genome Analysis (Isolate),Gp0116524,"Geysir, Iceland",64.27951,-20.36138,,,,,30 C,5504183,4605,0.0,30.0,,,,,
2639762531,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),Calescamantes bacterium JGI MDM2 SSWsed-3-M4 (unscreened),DOE Joint Genome Institute (JGI),2639762531.0,Single Cell Analysis (unscreened),Gp0121823,USA: Nevada,40.653,-119.3749,19 uM,7.03,,,86.6 C,890236,866,0.0,86.6,7.03,7.03,7.03,7.03,0.0
2639762532,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),Calescamantes bacterium JGI MDM2 SSWsed-3-M4 (contamination screened),DOE Joint Genome Institute (JGI),2639762532.0,Single Cell Analysis (screened),Gp0121823,USA: Nevada,40.653,-119.3749,19 uM,7.03,,,86.6 C,465976,415,0.0,86.6,7.03,7.03,7.03,7.03,0.0
2639762565,UNKNOWN,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),unclassified LHC4-1 archaeon JGI MDM2 LHC4sed-1-D19 (unscreened),DOE Joint Genome Institute (JGI),2639762565.0,Single Cell Analysis (unscreened),Gp0121800,"USA: California, Little Hot Creek",37.6906,-118.8442,,6.83,,,81.1 C,569340,733,0.0,81.1,6.83,6.83,6.83,6.83,0.0
2639762566,UNKNOWN,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"unclassified ""LHC4-2-C"" archaeon JGI MDM2 LHC4sed-1-F10 (unscreened)",DOE Joint Genome Institute (JGI),2639762566.0,Single Cell Analysis (unscreened),Gp0121794,"USA: California, Little Hot Creek",37.6906,-118.8442,,6.83,,,81.1 C,633562,793,0.0,81.1,6.83,6.83,6.83,6.83,0.0
2639762584,UNKNOWN,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"unclassified ""LHC4-1"" archaeon JGI MDM2 LHC4sed-1-F20 (contamination screened)",DOE Joint Genome Institute (JGI),2639762584.0,Single Cell Analysis (screened),Gp0121783,"USA: California, Little Hot Creek",37.6906,-118.8442,,6.83,,,81.1 C,763379,813,0.0,81.1,6.83,6.83,6.83,6.83,0.0
2639762585,UNKNOWN,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"unclassified ""LHC4-1"" archaeon JGI MDM2 LHC4sed-1-F20 (unscreened)",DOE Joint Genome Institute (JGI),2639762585.0,Single Cell Analysis (unscreened),Gp0121783,"USA: California, Little Hot Creek",37.6906,-118.8442,,6.83,,,81.1 C,1046076,1158,0.0,81.1,6.83,6.83,6.83,6.83,0.0
2639762586,Archaea,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),unclassified Crenarchaeota archaeon JGI MDM2 LHC4sed-1-G16 (unscreened),DOE Joint Genome Institute (JGI),2639762586.0,Single Cell Analysis (unscreened),Gp0121798,"USA: California, Little Hot Creek",37.6906,-118.8442,,6.83,,,81.1 C,1336176,1597,0.0,81.1,6.83,6.83,6.83,6.83,0.0
2639762587,Archaea,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),unclassified Crenarchaeota archaeon JGI MDM2 LHC4sed-1-G16 (contamination screened),DOE Joint Genome Institute (JGI),2639762587.0,Single Cell Analysis (screened),Gp0121798,"USA: California, Little Hot Creek",37.6906,-118.8442,,6.83,,,81.1 C,831072,956,0.0,81.1,6.83,6.83,6.83,6.83,0.0
2639762623,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),EM3 bacterium JGI MDM2 LHC4sed-1-H12 (unscreened),DOE Joint Genome Institute (JGI),2639762623.0,Single Cell Analysis (unscreened),Gp0121846,"USA: California, Little Hot Creek",37.6906,-118.8442,,6.83,,,81.1 C,511587,643,0.0,81.1,6.83,6.83,6.83,6.83,0.0
2639762624,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),Calescamantes bacterium JGI MDM2 SSWsed-3-M6 (unscreened),DOE Joint Genome Institute (JGI),2639762624.0,Single Cell Analysis (unscreened),Gp0121824,USA: Nevada,40.653,-119.3749,19 uM,7.03,,,86.6 C,1955667,1804,0.0,86.6,7.03,7.03,7.03,7.03,0.0
2639762625,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),Calescamantes bacterium JGI MDM2 SSWsed-3-M6 (contamination screened),DOE Joint Genome Institute (JGI),2639762625.0,Single Cell Analysis (screened),Gp0121824,USA: Nevada,40.653,-119.3749,19 uM,7.03,,,86.6 C,1826399,1658,0.0,86.6,7.03,7.03,7.03,7.03,0.0
2639762626,Bacteria,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),Calescamantes bacterium JGI MDM2 SSWsed-3-L9 (contamination screened),DOE Joint Genome Institute (JGI),2639762626.0,Single Cell Analysis (screened),Gp0121822,USA: Nevada,40.653,-119.3749,19 uM,7.03,,,86.6 C,708799,700,0.0,86.6,7.03,7.03,7.03,7.03,0.0
