,bin_name,completeness,contamination,quality,16S/23S/5SrRNAs,tRNAs,lineage,taxon_oid,temp,total_base,gene_count,copy_number,Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID ,GOLD Analysis Project Type,GOLD Sequencing Project ID,Geographic Location,Latitude,Longitude,Oxygen Concentration,pH,Salinity,Salinity Concentration,Sample Collection Temperature,Genome Size   * assembled,Gene Count   * assembled,Genome Bin Count   * assembled,temperature_num,pH_num,pH_low,pH_high,pH_avg,pH_range,grs_present,estimated genome size
121,3300045873_10035,83.46,0,medium,2,20,d__Bacteria;p__Coprothermobacterota;c__Coprothermobacteria;o__;f__;g__;s__,3300045873,3300045873_bin.35,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01","University of Wisconsin, Madison",3300045873,Metagenome Analysis,Gp0569475,"Yellowstone National Park, Wyoming, USA",44.7536,-110.40418,,6.525,,,78.5,374269206,744296,,78.5,6.525,6.525,6.525,6.525,0,0,448441416.2
122,3300045873_10036,94.67,0,medium,2,18,d__Bacteria;p__Thermotogota;c__Thermotogae;o__Thermotogales;f__Fervidobacteriaceae;g__Fervidobacterium;s__Fervidobacterium pennivorans_A,3300045873,3300045873_bin.36,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01","University of Wisconsin, Madison",3300045873,Metagenome Analysis,Gp0569475,"Yellowstone National Park, Wyoming, USA",44.7536,-110.40418,,6.525,,,78.5,374269206,744296,,78.5,6.525,6.525,6.525,6.525,0,0,395340874.6
124,3300045873_10039,95.69,1.72,medium,2,19,d__Bacteria;p__Calescibacterota;c__Calescibacteriia;o__;f__;g__;s__,3300045873,3300045873_bin.39,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01","University of Wisconsin, Madison",3300045873,Metagenome Analysis,Gp0569475,"Yellowstone National Park, Wyoming, USA",44.7536,-110.40418,,6.525,,,78.5,374269206,744296,,78.5,6.525,6.525,6.525,6.525,0,0,391126769.8
127,3300045873_10042,88.16,0.23,medium,2,14,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Caldarchaeales;f__NZ13-MGT;g__EX4484-121;s__,3300045873,3300045873_bin.42,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01","University of Wisconsin, Madison",3300045873,Metagenome Analysis,Gp0569475,"Yellowstone National Park, Wyoming, USA",44.7536,-110.40418,,6.525,,,78.5,374269206,744296,,78.5,6.525,6.525,6.525,6.525,0,0,424534035.8
129,3300045873_10045,100,0,medium,2,19,d__Bacteria;p__Dictyoglomota;c__Dictyoglomia;o__Dictyoglomales;f__Dictyoglomaceae;g__;s__,3300045873,3300045873_bin.45,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01","University of Wisconsin, Madison",3300045873,Metagenome Analysis,Gp0569475,"Yellowstone National Park, Wyoming, USA",44.7536,-110.40418,,6.525,,,78.5,374269206,744296,,78.5,6.525,6.525,6.525,6.525,0,0,374269206
130,3300045873_10049,93.1,0,medium,2,20,d__Bacteria;p__Thermotogota;c__Thermotogae;o__Thermotogales;f__Thermotogaceae;g__Pseudothermotoga_A;s__,3300045873,3300045873_bin.49,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01","University of Wisconsin, Madison",3300045873,Metagenome Analysis,Gp0569475,"Yellowstone National Park, Wyoming, USA",44.7536,-110.40418,,6.525,,,78.5,374269206,744296,,78.5,6.525,6.525,6.525,6.525,0,0,402007740.1
132,3300045873_10052,97.2,0.93,medium,1,10,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__Thermofilaceae;g__Thermofilum;s__Thermofilum adornatus,3300045873,3300045873_bin.52,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01","University of Wisconsin, Madison",3300045873,Metagenome Analysis,Gp0569475,"Yellowstone National Park, Wyoming, USA",44.7536,-110.40418,,6.525,,,78.5,374269206,744296,,78.5,6.525,6.525,6.525,6.525,0,0,385050623.5
137,3300045873_10059,93.1,0,medium,2,20,d__Bacteria;p__WOR-3;c__Hydrothermia;o__Hydrothermales;f__Hydrothermaceae;g__;s__,3300045873,3300045873_bin.59,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01","University of Wisconsin, Madison",3300045873,Metagenome Analysis,Gp0569475,"Yellowstone National Park, Wyoming, USA",44.7536,-110.40418,,6.525,,,78.5,374269206,744296,,78.5,6.525,6.525,6.525,6.525,0,0,402007740.1
139,3300045873_10060,98.13,0.93,medium,2,11,d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__;g__;s__,3300045873,3300045873_bin.60,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01","University of Wisconsin, Madison",3300045873,Metagenome Analysis,Gp0569475,"Yellowstone National Park, Wyoming, USA",44.7536,-110.40418,,6.525,,,78.5,374269206,744296,,78.5,6.525,6.525,6.525,6.525,0,0,381401412.4
142,3300045873_10066,89.66,0,medium,1,19,d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__Bipolaricaulales;f__Bipolaricaulaceae;g__;s__,3300045873,3300045873_bin.66,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01","University of Wisconsin, Madison",3300045873,Metagenome Analysis,Gp0569475,"Yellowstone National Park, Wyoming, USA",44.7536,-110.40418,,6.525,,,78.5,374269206,744296,,78.5,6.525,6.525,6.525,6.525,0,0,417431637.3
143,3300045873_10067,96.55,0,medium,2,20,d__Bacteria;p__Armatimonadota;c__HRBIN17;o__HRBIN17;f__;g__;s__,3300045873,3300045873_bin.67,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01","University of Wisconsin, Madison",3300045873,Metagenome Analysis,Gp0569475,"Yellowstone National Park, Wyoming, USA",44.7536,-110.40418,,6.525,,,78.5,374269206,744296,,78.5,6.525,6.525,6.525,6.525,0,0,387642885.6
149,3300045873_10074,90.52,0,medium,2,20,d__Bacteria;p__WOR-3;c__Hydrothermia;o__LBFQ01;f__LBFQ01;g__Caldipriscus;s__Caldipriscus sp000980735,3300045873,3300045873_bin.74,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01","University of Wisconsin, Madison",3300045873,Metagenome Analysis,Gp0569475,"Yellowstone National Park, Wyoming, USA",44.7536,-110.40418,,6.525,,,78.5,374269206,744296,,78.5,6.525,6.525,6.525,6.525,0,0,413465760.1
150,3300045873_10075,97.41,0,medium,2,18,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Thermoflexales;f__Thermoflexaceae;g__Thermoflexus;s__Thermoflexus hugenholtzii,3300045873,3300045873_bin.75,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01","University of Wisconsin, Madison",3300045873,Metagenome Analysis,Gp0569475,"Yellowstone National Park, Wyoming, USA",44.7536,-110.40418,,6.525,,,78.5,374269206,744296,,78.5,6.525,6.525,6.525,6.525,0,0,384220517.4
151,3300045873_10076,94.83,1.72,medium,2,19,d__Bacteria;p__WOR-3;c__WOR-3;o__;f__;g__;s__,3300045873,3300045873_bin.76,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01","University of Wisconsin, Madison",3300045873,Metagenome Analysis,Gp0569475,"Yellowstone National Park, Wyoming, USA",44.7536,-110.40418,,6.525,,,78.5,374269206,744296,,78.5,6.525,6.525,6.525,6.525,0,0,394673843.7
152,3300045873_10078,91.22,0,medium,2,18,d__Bacteria;p__Elusimicrobiota;c__Endomicrobia_A;o__;f__;g__;s__,3300045873,3300045873_bin.78,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01","University of Wisconsin, Madison",3300045873,Metagenome Analysis,Gp0569475,"Yellowstone National Park, Wyoming, USA",44.7536,-110.40418,,6.525,,,78.5,374269206,744296,,78.5,6.525,6.525,6.525,6.525,0,0,410292924.8
153,3300045873_10079,94.83,3.45,medium,2,19,d__Bacteria;p__Caldisericota;c__Caldisericia;o__B22-G15;f__B22-G15;g__;s__,3300045873,3300045873_bin.79,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Seven Mile Hole Area, Yellowstone National Park, WY, United States - MSUNE_MH_01","University of Wisconsin, Madison",3300045873,Metagenome Analysis,Gp0569475,"Yellowstone National Park, Wyoming, USA",44.7536,-110.40418,,6.525,,,78.5,374269206,744296,,78.5,6.525,6.525,6.525,6.525,0,0,394673843.7
178,3300045874_10002,80.17,0,medium,1,16,d__Bacteria;p__WOR-3;c__Hydrothermia;o__LBFQ01;f__;g__;s__,3300045874,3300045874_bin.2,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Midway Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_MGB_03","University of Wisconsin, Madison",3300045874,Metagenome Analysis,Gp0569474,"Yellowstone National Park, Wyoming, USA",44.50889,-110.80895,,7.16,,,77.4,130740205,217854,,77.4,7.16,7.16,7.16,7.16,0,0,163078714
185,3300045874_10005,93.77,0,medium,2,12,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Caldarchaeales;f__HR02;g__AWOC01;s__,3300045874,3300045874_bin.5,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Midway Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_MGB_03","University of Wisconsin, Madison",3300045874,Metagenome Analysis,Gp0569474,"Yellowstone National Park, Wyoming, USA",44.50889,-110.80895,,7.16,,,77.4,130740205,217854,,77.4,7.16,7.16,7.16,7.16,0,0,139426474.4
186,3300045874_10007,100,0,medium,2,20,d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__NICIL-2;g__HRBIN21;s__,3300045874,3300045874_bin.7,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Midway Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_MGB_03","University of Wisconsin, Madison",3300045874,Metagenome Analysis,Gp0569474,"Yellowstone National Park, Wyoming, USA",44.50889,-110.80895,,7.16,,,77.4,130740205,217854,,77.4,7.16,7.16,7.16,7.16,0,0,130740205
188,3300045874_10009,92.24,0,medium,2,20,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SM23-28-2;f__HRbin24;g__HRBIN24;s__,3300045874,3300045874_bin.9,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Midway Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_MGB_03","University of Wisconsin, Madison",3300045874,Metagenome Analysis,Gp0569474,"Yellowstone National Park, Wyoming, USA",44.50889,-110.80895,,7.16,,,77.4,130740205,217854,,77.4,7.16,7.16,7.16,7.16,0,0,141739164.1
171,3300045874_10012,92.52,0.93,medium,1,15,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__Acidilobaceae;g__;s__,3300045874,3300045874_bin.12,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Midway Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_MGB_03","University of Wisconsin, Madison",3300045874,Metagenome Analysis,Gp0569474,"Yellowstone National Park, Wyoming, USA",44.50889,-110.80895,,7.16,,,77.4,130740205,217854,,77.4,7.16,7.16,7.16,7.16,0,0,141310208.6
175,3300045874_10017,85.05,0,medium,1,11,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__Acidilobaceae;g__;s__,3300045874,3300045874_bin.17,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Midway Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_MGB_03","University of Wisconsin, Madison",3300045874,Metagenome Analysis,Gp0569474,"Yellowstone National Park, Wyoming, USA",44.50889,-110.80895,,7.16,,,77.4,130740205,217854,,77.4,7.16,7.16,7.16,7.16,0,0,153721581.4
176,3300045874_10018,98.28,0,medium,1,20,d__Bacteria;p__Acidobacteriota;c__HRBIN11;o__HRBIN11;f__HRBIN11;g__HRBIN11;s__,3300045874,3300045874_bin.18,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Midway Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_MGB_03","University of Wisconsin, Madison",3300045874,Metagenome Analysis,Gp0569474,"Yellowstone National Park, Wyoming, USA",44.50889,-110.80895,,7.16,,,77.4,130740205,217854,,77.4,7.16,7.16,7.16,7.16,0,0,133028291.6
177,3300045874_10019,82.76,0,medium,1,16,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Thermaceae;g__Thermus;s__Thermus aquaticus,3300045874,3300045874_bin.19,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Midway Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_MGB_03","University of Wisconsin, Madison",3300045874,Metagenome Analysis,Gp0569474,"Yellowstone National Park, Wyoming, USA",44.50889,-110.80895,,7.16,,,77.4,130740205,217854,,77.4,7.16,7.16,7.16,7.16,0,0,157975114.8
180,3300045874_10023,80.03,0,medium,2,18,d__Bacteria;p__Aquificota;c__Aquificae;o__Aquificales;f__Aquificaceae;g__Thermocrinis;s__,3300045874,3300045874_bin.23,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Midway Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_MGB_03","University of Wisconsin, Madison",3300045874,Metagenome Analysis,Gp0569474,"Yellowstone National Park, Wyoming, USA",44.50889,-110.80895,,7.16,,,77.4,130740205,217854,,77.4,7.16,7.16,7.16,7.16,0,0,163363994.8
183,3300045874_10030,88.79,0,medium,2,19,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Thermoflexales;f__Thermoflexaceae;g__Thermoflexus;s__Thermoflexus hugenholtzii,3300045874,3300045874_bin.30,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Midway Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_MGB_03","University of Wisconsin, Madison",3300045874,Metagenome Analysis,Gp0569474,"Yellowstone National Park, Wyoming, USA",44.50889,-110.80895,,7.16,,,77.4,130740205,217854,,77.4,7.16,7.16,7.16,7.16,0,0,147246542.4
184,3300045874_10031,92.24,0,medium,2,20,d__Bacteria;p__WOR-3;c__Hydrothermia;o__LBFQ01;f__LBFQ01;g__Caldipriscus;s__Caldipriscus sp000980735,3300045874,3300045874_bin.31,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Midway Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_MGB_03","University of Wisconsin, Madison",3300045874,Metagenome Analysis,Gp0569474,"Yellowstone National Park, Wyoming, USA",44.50889,-110.80895,,7.16,,,77.4,130740205,217854,,77.4,7.16,7.16,7.16,7.16,0,0,141739164.1
501,3300045875_10006,90.97,0,medium,2,11,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__Acidilobaceae;g__;s__,3300045875,3300045875_bin.6,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Midway Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_MGB_02","University of Wisconsin, Madison",3300045875,Metagenome Analysis,Gp0569473,"Yellowstone National Park, Wyoming, USA",44.51987,-110.81077,,8.991,,,86.9,60535861,104651,,86.9,8.991,8.991,8.991,8.991,0,0,66544862.04
499,3300045875_10014,100,0,medium,2,19,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__,3300045875,3300045875_bin.14,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Midway Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_MGB_02","University of Wisconsin, Madison",3300045875,Metagenome Analysis,Gp0569473,"Yellowstone National Park, Wyoming, USA",44.51987,-110.81077,,8.991,,,86.9,60535861,104651,,86.9,8.991,8.991,8.991,8.991,0,0,60535861
500,3300045875_10015,84.48,0,medium,2,18,d__Bacteria;p__Aquificota;c__Aquificae;o__Aquificales;f__Aquificaceae;g__Thermocrinis;s__,3300045875,3300045875_bin.15,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Midway Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_MGB_02","University of Wisconsin, Madison",3300045875,Metagenome Analysis,Gp0569473,"Yellowstone National Park, Wyoming, USA",44.51987,-110.81077,,8.991,,,86.9,60535861,104651,,86.9,8.991,8.991,8.991,8.991,0,0,71657032.43
508,3300045876_10003,100,0,medium,1,17,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Thermaceae;g__Thermus;s__Thermus aquaticus,3300045876,3300045876_bin.3,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Midway Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_MGB_01","University of Wisconsin, Madison",3300045876,Metagenome Analysis,Gp0569472,"Yellowstone National Park, Wyoming, USA",44.51914,-110.80914,,8.78,,,80.6,86885467,124096,,80.6,8.78,8.78,8.78,8.78,0,0,86885467
509,3300045876_10004,87.07,0,medium,2,18,d__Bacteria;p__Armatimonadota;c__HRBIN17;o__HRBIN17;f__HRBIN17;g__HRBIN17;s__,3300045876,3300045876_bin.4,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Midway Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_MGB_01","University of Wisconsin, Madison",3300045876,Metagenome Analysis,Gp0569472,"Yellowstone National Park, Wyoming, USA",44.51914,-110.80914,,8.78,,,80.6,86885467,124096,,80.6,8.78,8.78,8.78,8.78,0,0,99788063.63
510,3300045876_10005,97.41,0,medium,2,18,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Thermoflexales;f__Thermoflexaceae;g__Thermoflexus;s__Thermoflexus hugenholtzii,3300045876,3300045876_bin.5,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Midway Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_MGB_01","University of Wisconsin, Madison",3300045876,Metagenome Analysis,Gp0569472,"Yellowstone National Park, Wyoming, USA",44.51914,-110.80914,,8.78,,,80.6,86885467,124096,,80.6,8.78,8.78,8.78,8.78,0,0,89195633.92
511,3300045876_10006,83.62,0,medium,2,17,d__Bacteria;p__Calescibacterota;c__Calescibacteriia;o__Calescibacteriales;f__Calescibacteriaceae;g__Calescibacterium;s__,3300045876,3300045876_bin.6,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Midway Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_MGB_01","University of Wisconsin, Madison",3300045876,Metagenome Analysis,Gp0569472,"Yellowstone National Park, Wyoming, USA",44.51914,-110.80914,,8.78,,,80.6,86885467,124096,,80.6,8.78,8.78,8.78,8.78,0,0,103905126.8
502,3300045876_10010,89.39,0,medium,2,20,d__Bacteria;p__WOR-3;c__Hydrothermia;o__LBFQ01;f__LBFQ01;g__Caldipriscus;s__Caldipriscus sp000980735,3300045876,3300045876_bin.10,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Midway Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_MGB_01","University of Wisconsin, Madison",3300045876,Metagenome Analysis,Gp0569472,"Yellowstone National Park, Wyoming, USA",44.51914,-110.80914,,8.78,,,80.6,86885467,124096,,80.6,8.78,8.78,8.78,8.78,0,0,97198195.55
503,3300045876_10011,93.46,0,medium,1,12,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__Acidilobaceae;g__;s__,3300045876,3300045876_bin.11,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Midway Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_MGB_01","University of Wisconsin, Madison",3300045876,Metagenome Analysis,Gp0569472,"Yellowstone National Park, Wyoming, USA",44.51914,-110.80914,,8.78,,,80.6,86885467,124096,,80.6,8.78,8.78,8.78,8.78,0,0,92965404.45
504,3300045876_10012,100,0,medium,2,18,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__,3300045876,3300045876_bin.12,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Midway Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_MGB_01","University of Wisconsin, Madison",3300045876,Metagenome Analysis,Gp0569472,"Yellowstone National Park, Wyoming, USA",44.51914,-110.80914,,8.78,,,80.6,86885467,124096,,80.6,8.78,8.78,8.78,8.78,0,0,86885467
464,3300045877_10005,93.1,0,medium,2,15,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Thermaceae;g__Meiothermus;s__Meiothermus cerbereus,3300045877,3300045877_bin.5,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Lower Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_LGB_05","University of Wisconsin, Madison",3300045877,Metagenome Analysis,Gp0569471,"Yellowstone National Park, Wyoming, USA",44.56097,-110.83286,,8.727,,,77.2,181264349,277347,,77.2,8.727,8.727,8.727,8.727,0,0,194698548.9
469,3300045877_10009,88.79,0.16,medium,2,20,d__Bacteria;p__WOR-3;c__Hydrothermia;o__LBFQ01;f__LBFQ01;g__Caldipriscus;s__Caldipriscus sp000980735,3300045877,3300045877_bin.9,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Lower Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_LGB_05","University of Wisconsin, Madison",3300045877,Metagenome Analysis,Gp0569471,"Yellowstone National Park, Wyoming, USA",44.56097,-110.83286,,8.727,,,77.2,181264349,277347,,77.2,8.727,8.727,8.727,8.727,0,0,204149509
443,3300045877_10013,94.83,1.72,medium,2,18,d__Bacteria;p__Desulfobacterota;c__Thermodesulfobacteria;o__Thermodesulfobacteriales;f__Thermodesulfobacteriaceae;g__Thermodesulfobacterium;s__Thermodesulfobacterium geofontis,3300045877,3300045877_bin.13,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Lower Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_LGB_05","University of Wisconsin, Madison",3300045877,Metagenome Analysis,Gp0569471,"Yellowstone National Park, Wyoming, USA",44.56097,-110.83286,,8.727,,,77.2,181264349,277347,,77.2,8.727,8.727,8.727,8.727,0,0,191146629.8
444,3300045877_10014,96.55,0,medium,2,20,d__Bacteria;p__Desulfobacterota;c__BSN033;o__B13-G15;f__B13-G15;g__B73-G16;s__,3300045877,3300045877_bin.14,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Lower Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_LGB_05","University of Wisconsin, Madison",3300045877,Metagenome Analysis,Gp0569471,"Yellowstone National Park, Wyoming, USA",44.56097,-110.83286,,8.727,,,77.2,181264349,277347,,77.2,8.727,8.727,8.727,8.727,0,0,187741428.3
446,3300045877_10019,93.1,0,medium,2,19,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Thermoflexales;f__Thermoflexaceae;g__Thermoflexus;s__Thermoflexus hugenholtzii,3300045877,3300045877_bin.19,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Lower Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_LGB_05","University of Wisconsin, Madison",3300045877,Metagenome Analysis,Gp0569471,"Yellowstone National Park, Wyoming, USA",44.56097,-110.83286,,8.727,,,77.2,181264349,277347,,77.2,8.727,8.727,8.727,8.727,0,0,194698548.9
448,3300045877_10022,94.83,1.72,medium,2,20,d__Bacteria;p__WOR-3;c__WOR-3;o__;f__;g__;s__,3300045877,3300045877_bin.22,,,0,*Microbiome,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from the Lower Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_LGB_05","University of Wisconsin, Madison",3300045877,Metagenome Analysis,Gp0569471,"Yellowstone National Park, Wyoming, USA",44.56097,-110.83286,,8.727,,,77.2,181264349,277347,,77.2,8.727,8.727,8.727,8.727,0,0,191146629.8
