,scaffold_oid,taxon_oid,completeness,contamination,quality,16S/23S/5SrRNAs,tRNAs,lineage,gene_oid,Gene ID,Locus Tag,Gene Product Name,Genome ID,Genome Name,Batch1,Scaffold ID,Scaffold Length (bp),Scaffold Read Depth,COG,Pfam,KO,Unnamed: 12,bin_name,total_base,gene_count
162,Ga0496347_000083,3300045888,97.66,0,medium,1,15,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__Ignisphaeraceae;g__Ignisphaera;s__,3300045888 assembled Ga0496347_000083_4759_6324,3300045888 assembled Ga0496347_000083_4759_6324,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045888,"Hot spring sediment microbial communities from Geyser Creek, Yellowstone National Park, WY, United States - MSUNE_GC_05 (*) (MER-FS) (assembled)",1,Ga0496347_000083,51061,270,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045888_10006,,
163,Ga0496347_001456,3300045888,99.53,0,medium,2,15,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__Desulfurococcaceae;g__UBA285;s__,3300045888 assembled Ga0496347_001456_2271_3818,3300045888 assembled Ga0496347_001456_2271_3818,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045888,"Hot spring sediment microbial communities from Geyser Creek, Yellowstone National Park, WY, United States - MSUNE_GC_05 (*) (MER-FS) (assembled)",1,Ga0496347_001456,6793,10,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045888_10008,,
164,Ga0496347_000079,3300045888,99.53,0,medium,2,15,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__Desulfurococcaceae;g__UBA285;s__,3300045888 assembled Ga0496347_000079_47833_49347,3300045888 assembled Ga0496347_000079_47833_49347,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045888,"Hot spring sediment microbial communities from Geyser Creek, Yellowstone National Park, WY, United States - MSUNE_GC_05 (*) (MER-FS) (assembled)",1,Ga0496347_000079,52021,12,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045888_10008,,
165,Ga0496347_001077,3300045888,81.62,1.87,medium,2,5,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__,3300045888 assembled Ga0496347_001077_4579_6177,3300045888 assembled Ga0496347_001077_4579_6177,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045888,"Hot spring sediment microbial communities from Geyser Creek, Yellowstone National Park, WY, United States - MSUNE_GC_05 (*) (MER-FS) (assembled)",1,Ga0496347_001077,8539,134,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045888_10009,,
167,Ga0496355_000608,3300045908,91.59,1.87,medium,2,10,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__AG1;g__AG1;s__,3300045908 assembled Ga0496355_000608_11582_13171,3300045908 assembled Ga0496355_000608_11582_13171,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045908,"Hot spring sediment microbial communities from the Gibbon River area, Yellowstone National Park, WY, United States - MSUNE_GR_03 (*) (MER-FS) (assembled)",1,Ga0496355_000608,24800,17,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045908_10012,,
168,Ga0496355_000007,3300045908,100,0,medium,2,14,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__Desulfurococcaceae;g__UBA285;s__,3300045908 assembled Ga0496355_000007_135981_137495,3300045908 assembled Ga0496355_000007_135981_137495,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045908,"Hot spring sediment microbial communities from the Gibbon River area, Yellowstone National Park, WY, United States - MSUNE_GR_03 (*) (MER-FS) (assembled)",1,Ga0496355_000007,355342,654,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045908_10013,,
169,Ga0496355_001145,3300045908,88.32,0,medium,2,8,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__Thermofilaceae;g__B17-G15;s__,3300045908 assembled Ga0496355_001145_12676_14244,3300045908 assembled Ga0496355_001145_12676_14244,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045908,"Hot spring sediment microbial communities from the Gibbon River area, Yellowstone National Park, WY, United States - MSUNE_GR_03 (*) (MER-FS) (assembled)",1,Ga0496355_001145,16502,353,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045908_10014,,
170,Ga0496355_000102,3300045908,100,0,medium,1,17,d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__WYZ-LMO2;s__,3300045908 assembled Ga0496355_000102_49011_50432,3300045908 assembled Ga0496355_000102_49011_50432,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045908,"Hot spring sediment microbial communities from the Gibbon River area, Yellowstone National Park, WY, United States - MSUNE_GR_03 (*) (MER-FS) (assembled)",1,Ga0496355_000102,73677,19,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045908_10016,,
171,Ga0496355_000126,3300045908,99.07,0,medium,2,15,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__NBVN01;g__Zestosphaera;s__,3300045908 assembled Ga0496355_000126_60526_62034,3300045908 assembled Ga0496355_000126_60526_62034,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045908,"Hot spring sediment microbial communities from the Gibbon River area, Yellowstone National Park, WY, United States - MSUNE_GR_03 (*) (MER-FS) (assembled)",1,Ga0496355_000126,68647,294,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045908_10017,,
172,Ga0496355_000061,3300045908,97.43,0,medium,2,6,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__;s__,3300045908 assembled Ga0496355_000061_26216_27778,3300045908 assembled Ga0496355_000061_26216_27778,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045908,"Hot spring sediment microbial communities from the Gibbon River area, Yellowstone National Park, WY, United States - MSUNE_GR_03 (*) (MER-FS) (assembled)",1,Ga0496355_000061,98975,61,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045908_10019,,
173,Ga0496355_002888,3300045908,96.42,0,medium,2,15,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__AG1;g__;s__,3300045908 assembled Ga0496355_002888_5098_6591,3300045908 assembled Ga0496355_002888_5098_6591,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045908,"Hot spring sediment microbial communities from the Gibbon River area, Yellowstone National Park, WY, United States - MSUNE_GR_03 (*) (MER-FS) (assembled)",1,Ga0496355_002888,8658,274,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045908_10002,,
174,Ga0496355_009678,3300045908,82.71,2.8,medium,2,14,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__NBVN01;g__;s__,3300045908 assembled Ga0496355_009678_533_1999,3300045908 assembled Ga0496355_009678_533_1999,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045908,"Hot spring sediment microbial communities from the Gibbon River area, Yellowstone National Park, WY, United States - MSUNE_GR_03 (*) (MER-FS) (assembled)",1,Ga0496355_009678,3091,276,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045908_10021,,
175,Ga0496355_010190,3300045908,82.71,2.8,medium,2,14,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__NBVN01;g__;s__,3300045908 assembled Ga0496355_010190_190_1725,3300045908 assembled Ga0496355_010190_190_1725,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045908,"Hot spring sediment microbial communities from the Gibbon River area, Yellowstone National Park, WY, United States - MSUNE_GR_03 (*) (MER-FS) (assembled)",1,Ga0496355_010190,2936,306,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045908_10021,,
177,Ga0496355_000033,3300045908,96.73,0.93,medium,2,18,d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__B29-G17;f__;g__;s__,3300045908 assembled Ga0496355_000033_110559_112049,3300045908 assembled Ga0496355_000033_110559_112049,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045908,"Hot spring sediment microbial communities from the Gibbon River area, Yellowstone National Park, WY, United States - MSUNE_GR_03 (*) (MER-FS) (assembled)",1,Ga0496355_000033,142247,87,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045908_10024,,
178,Ga0496355_000876,3300045908,98.13,0,medium,2,17,d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Nezhaarchaeales;f__WYZ-LMO8;g__WYZ-LMO8;s__,3300045908 assembled Ga0496355_000876_13253_14767,3300045908 assembled Ga0496355_000876_13253_14767,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045908,"Hot spring sediment microbial communities from the Gibbon River area, Yellowstone National Park, WY, United States - MSUNE_GR_03 (*) (MER-FS) (assembled)",1,Ga0496355_000876,19677,948,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045908_10027,,
179,Ga0496355_000205,3300045908,89.65,1.87,medium,2,18,d__Archaea;p__Thermoproteota;c__Korarchaeia;o__Korarchaeales;f__Korarchaeaceae;g__Korarchaeum;s__,3300045908 assembled Ga0496355_000205_2078_3517,3300045908 assembled Ga0496355_000205_2078_3517,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045908,"Hot spring sediment microbial communities from the Gibbon River area, Yellowstone National Park, WY, United States - MSUNE_GR_03 (*) (MER-FS) (assembled)",1,Ga0496355_000205,48297,42,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045908_10029,,
180,Ga0496355_004523,3300045908,91.59,0,medium,2,15,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Caldarchaeales;f__HR02;g__JGI-OTU-1;s__,3300045908 assembled Ga0496355_004523_1877_3601,3300045908 assembled Ga0496355_004523_1877_3601,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045908,"Hot spring sediment microbial communities from the Gibbon River area, Yellowstone National Park, WY, United States - MSUNE_GR_03 (*) (MER-FS) (assembled)",1,Ga0496355_004523,6048,398,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045908_10030,,
181,Ga0496355_001683,3300045908,89.88,0,medium,2,9,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__Desulfurococcaceae;g__UBA285;s__,3300045908 assembled Ga0496355_001683_7176_8654,3300045908 assembled Ga0496355_001683_7176_8654,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045908,"Hot spring sediment microbial communities from the Gibbon River area, Yellowstone National Park, WY, United States - MSUNE_GR_03 (*) (MER-FS) (assembled)",1,Ga0496355_001683,12892,33,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045908_10031,,
183,Ga0496355_000011,3300045908,95.33,1.87,medium,1,17,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Gearchaeales;f__Gearchaeaceae;g__;s__,3300045908 assembled Ga0496355_000011_163126_164688,3300045908 assembled Ga0496355_000011_163126_164688,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045908,"Hot spring sediment microbial communities from the Gibbon River area, Yellowstone National Park, WY, United States - MSUNE_GR_03 (*) (MER-FS) (assembled)",1,Ga0496355_000011,293298,38,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045908_10034,,
184,Ga0496355_000329,3300045908,95.33,1.87,medium,1,17,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Gearchaeales;f__Gearchaeaceae;g__;s__,3300045908 assembled Ga0496355_000329_886_2472,3300045908 assembled Ga0496355_000329_886_2472,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045908,"Hot spring sediment microbial communities from the Gibbon River area, Yellowstone National Park, WY, United States - MSUNE_GR_03 (*) (MER-FS) (assembled)",1,Ga0496355_000329,35654,37,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045908_10034,,
185,Ga0496355_000120,3300045908,96.26,0,medium,2,14,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__NBVN01;g__;s__,3300045908 assembled Ga0496355_000120_40844_42361,3300045908 assembled Ga0496355_000120_40844_42361,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045908,"Hot spring sediment microbial communities from the Gibbon River area, Yellowstone National Park, WY, United States - MSUNE_GR_03 (*) (MER-FS) (assembled)",1,Ga0496355_000120,70216,60,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045908_10038,,
186,Ga0496355_002353,3300045908,88.63,0,medium,1,14,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Caldarchaeales;f__NZ13-MGT;g__EX4484-121;s__,3300045908 assembled Ga0496355_002353_7551_9107,3300045908 assembled Ga0496355_002353_7551_9107,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045908,"Hot spring sediment microbial communities from the Gibbon River area, Yellowstone National Park, WY, United States - MSUNE_GR_03 (*) (MER-FS) (assembled)",1,Ga0496355_002353,10284,124,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045908_10039,,
187,Ga0496355_000045,3300045908,96.26,0.93,medium,1,15,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__Ignisphaeraceae;g__Ignisphaera;s__,3300045908 assembled Ga0496355_000045_63206_64780,3300045908 assembled Ga0496355_000045_63206_64780,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045908,"Hot spring sediment microbial communities from the Gibbon River area, Yellowstone National Park, WY, United States - MSUNE_GR_03 (*) (MER-FS) (assembled)",1,Ga0496355_000045,120075,291,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045908_10040,,
188,Ga0496355_000040,3300045908,95.33,0.93,medium,2,14,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__Desulfurococcaceae;g__Thermosphaera;s__Thermosphaera aggregans,3300045908 assembled Ga0496355_000040_18826_20307,3300045908 assembled Ga0496355_000040_18826_20307,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045908,"Hot spring sediment microbial communities from the Gibbon River area, Yellowstone National Park, WY, United States - MSUNE_GR_03 (*) (MER-FS) (assembled)",1,Ga0496355_000040,131865,25,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045908_10042,,
189,Ga0496355_003308,3300045908,95.33,0.93,medium,2,14,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__Desulfurococcaceae;g__Thermosphaera;s__Thermosphaera aggregans,3300045908 assembled Ga0496355_003308_5420_6979,3300045908 assembled Ga0496355_003308_5420_6979,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045908,"Hot spring sediment microbial communities from the Gibbon River area, Yellowstone National Park, WY, United States - MSUNE_GR_03 (*) (MER-FS) (assembled)",1,Ga0496355_003308,7818,46,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045908_10042,,
191,Ga0496355_000247,3300045908,82.24,1.87,medium,2,12,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__Thermofilaceae;g__;s__,3300045908 assembled Ga0496355_000247_38902_40467,3300045908 assembled Ga0496355_000247_38902_40467,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045908,"Hot spring sediment microbial communities from the Gibbon River area, Yellowstone National Park, WY, United States - MSUNE_GR_03 (*) (MER-FS) (assembled)",1,Ga0496355_000247,42716,156,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045908_10046,,
192,Ga0496355_002932,3300045908,92.06,0.93,medium,2,13,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__Desulfurococcaceae;g__UBA285;s__,3300045908 assembled Ga0496355_002932_1032_2510,3300045908 assembled Ga0496355_002932_1032_2510,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045908,"Hot spring sediment microbial communities from the Gibbon River area, Yellowstone National Park, WY, United States - MSUNE_GR_03 (*) (MER-FS) (assembled)",1,Ga0496355_002932,8543,266,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045908_10047,,
194,Ga0496355_000005,3300045908,95.33,0,medium,2,17,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Gearchaeales;f__Gearchaeaceae;g__SCGC-AAA471-B05;s__,3300045908 assembled Ga0496355_000005_381632_383257,3300045908 assembled Ga0496355_000005_381632_383257,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045908,"Hot spring sediment microbial communities from the Gibbon River area, Yellowstone National Park, WY, United States - MSUNE_GR_03 (*) (MER-FS) (assembled)",1,Ga0496355_000005,439280,38,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045908_10007,,
195,Ga0496355_000856,3300045908,99.53,0,medium,2,14,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__Desulfurococcaceae;g__UBA285;s__,3300045908 assembled Ga0496355_000856_2642_4156,3300045908 assembled Ga0496355_000856_2642_4156,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045908,"Hot spring sediment microbial communities from the Gibbon River area, Yellowstone National Park, WY, United States - MSUNE_GR_03 (*) (MER-FS) (assembled)",1,Ga0496355_000856,20086,340,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045908_10009,,
196,Ga0496355_001827,3300045908,99.53,0,medium,2,14,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__Desulfurococcaceae;g__UBA285;s__,3300045908 assembled Ga0496355_001827_2887_4434,3300045908 assembled Ga0496355_001827_2887_4434,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045908,"Hot spring sediment microbial communities from the Gibbon River area, Yellowstone National Park, WY, United States - MSUNE_GR_03 (*) (MER-FS) (assembled)",1,Ga0496355_001827,12204,294,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045908_10009,,
197,Ga0496367_000002,3300045865,100,0,medium,1,10,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__QEFN01;s__QEFN01 sp003086555,3300045865 assembled Ga0496367_000002_101847_103316,3300045865 assembled Ga0496367_000002_101847_103316,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045865,"Hot spring sediment microbial communities from the Norris Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_N_04 (*) (MER-FS) (assembled)",1,Ga0496367_000002,169900,44,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045865_10010,,
198,Ga0496367_000059,3300045865,98.13,0,medium,1,15,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__Acidilobaceae;g__Acidilobus;s__Acidilobus sp003431325,3300045865 assembled Ga0496367_000059_19355_20830,3300045865 assembled Ga0496367_000059_19355_20830,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045865,"Hot spring sediment microbial communities from the Norris Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_N_04 (*) (MER-FS) (assembled)",1,Ga0496367_000059,33136,369,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045865_10012,,
199,Ga0496367_000187,3300045865,98.13,0,medium,1,15,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__Acidilobaceae;g__Acidilobus;s__Acidilobus sp003431325,3300045865 assembled Ga0496367_000187_14987_16597,3300045865 assembled Ga0496367_000187_14987_16597,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045865,"Hot spring sediment microbial communities from the Norris Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_N_04 (*) (MER-FS) (assembled)",1,Ga0496367_000187,17485,357,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045865_10012,,
200,Ga0496367_000146,3300045865,99.07,0,medium,2,13,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Acd1;s__Acd1 sp000389735,3300045865 assembled Ga0496367_000146_17845_19359,3300045865 assembled Ga0496367_000146_17845_19359,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045865,"Hot spring sediment microbial communities from the Norris Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_N_04 (*) (MER-FS) (assembled)",1,Ga0496367_000146,20110,908,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045865_10002,,
201,Ga0496367_000135,3300045865,93.69,0,medium,1,1,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__Thermoproteus;s__Thermoproteus sp002077075,3300045865 assembled Ga0496367_000135_11809_13395,3300045865 assembled Ga0496367_000135_11809_13395,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045865,"Hot spring sediment microbial communities from the Norris Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_N_04 (*) (MER-FS) (assembled)",1,Ga0496367_000135,21071,149,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045865_10003,,
202,Ga0496367_000096,3300045865,93.69,0,medium,1,1,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__Thermoproteus;s__Thermoproteus sp002077075,3300045865 assembled Ga0496367_000096_17113_18747,3300045865 assembled Ga0496367_000096_17113_18747,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045865,"Hot spring sediment microbial communities from the Norris Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_N_04 (*) (MER-FS) (assembled)",1,Ga0496367_000096,24104,156,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045865_10003,,
203,Ga0496367_000013,3300045865,91.74,0,medium,2,16,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__UBA164;f__UBA164;g__UBA160;s__,3300045865 assembled Ga0496367_000013_61179_62735,3300045865 assembled Ga0496367_000013_61179_62735,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045865,"Hot spring sediment microbial communities from the Norris Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_N_04 (*) (MER-FS) (assembled)",1,Ga0496367_000013,65129,90,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045865_10005,,
204,Ga0496367_000017,3300045865,91.74,0,medium,2,16,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__UBA164;f__UBA164;g__UBA160;s__,3300045865 assembled Ga0496367_000017_28781_30343,3300045865 assembled Ga0496367_000017_28781_30343,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045865,"Hot spring sediment microbial communities from the Norris Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_N_04 (*) (MER-FS) (assembled)",1,Ga0496367_000017,59049,101,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045865_10005,,
206,Ga0496367_000168,3300045865,86.92,0,medium,2,14,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__UBA164;f__;g__;s__,3300045865 assembled Ga0496367_000168_12921_14525,3300045865 assembled Ga0496367_000168_12921_14525,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045865,"Hot spring sediment microbial communities from the Norris Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_N_04 (*) (MER-FS) (assembled)",1,Ga0496367_000168,18780,71,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045865_10008,,
208,Ga0496359_000328,3300045876,89.25,2.8,medium,2,14,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Gearchaeales;f__Gearchaeaceae;g__SCGC-AAA471-B05;s__,3300045876 assembled Ga0496359_000328_3425_5050,3300045876 assembled Ga0496359_000328_3425_5050,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045876,"Hot spring sediment microbial communities from the Midway Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_MGB_01 (*) (MER-FS) (assembled)",1,Ga0496359_000328,18845,554,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045876_10014,,
210,Ga0496359_002891,3300045876,90.19,2.18,medium,2,15,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Gearchaeales;f__Gearchaeaceae;g__SCGC-AAA471-B05;s__,3300045876 assembled Ga0496359_002891_458_2083,3300045876 assembled Ga0496359_002891_458_2083,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045876,"Hot spring sediment microbial communities from the Midway Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_MGB_01 (*) (MER-FS) (assembled)",1,Ga0496359_002891,5511,730,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045876_10008,,
211,Ga0496359_000272,3300045876,97.2,0,medium,1,8,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__,3300045876 assembled Ga0496359_000272_14746_16344,3300045876 assembled Ga0496359_000272_14746_16344,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045876,"Hot spring sediment microbial communities from the Midway Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_MGB_01 (*) (MER-FS) (assembled)",1,Ga0496359_000272,20402,348,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045876_10009,,
213,Ga0496356_02024,3300045879,90.19,3.74,medium,2,13,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Desulfurococcales;f__Fervidicoccaceae;g__;s__,3300045879 assembled Ga0496356_02024_39_1601,3300045879 assembled Ga0496356_02024_39_1601,,radical SAM superfamily enzyme YgiQ (UPF0313 family),3300045879,"Hot spring sediment microbial communities from the Lower Geyser Basin, Yellowstone National Park, WY, United States - MSUNE_LGB_01 (*) (MER-FS) (assembled)",1,Ga0496356_02024,5566,9,"COG1032===Radical SAM superfamily enzyme YgiQ, UPF0313 family",pfam04055===Radical SAM superfamily,,,3300045879_10015,,
